"Redirect to CorvusPay Cancel URL without POST parameters.","Preusmjeravanje na CorvusPay URL za neuspjeh bez POST parametara."
"Redirect to CorvusPay Success URL without POST parameters.","Preusmjeravanje na CorvusPay URL za uspjeh bez POST parametara."
"Payment failed! ERROR: Invalid signature.","Neuspješno plaćanje! GREŠKA: Krivi potpis."
"There was an error while trying to process the request.","Došlo je do pogreške prilikom obrade zahtjeva."
"Transaction has been declined. Please try again later.","Transakcija je odbijena. Molimo pokušajte ponovno."
"Specified currency code not supported.",Navedeni kod valute nije podržan.
"Specified amount is not supported.",Navedeni iznos nije podržan.
"Unsupported time limit value.",Vrijednost vremenskog ograničenja nije podržana.
"Redirected customer to CorvusPay payment gateway.","Redirected customer to CorvusPay payment gateway."
"Gateway rejected the transaction.","Gateway je odbio transakciju."
"Card brand","Kartični brend"
"Minimum installments","Najmanji broj rata"
"Maximum installments","Najveći broj rata"
"General discount","Opći popust"
"Specific discount","Poseban popust"
"American Express","American Express"
DinaCard,DinaCard
Diners,Diners
"Discover Card","Discover Card"
IBAN,IBAN
Maestro,Maestro
Mastercard,Mastercard
Visa,Visa
None,Ništa
Mandatory,Obavezne
"Both mandatory and optional","I obavezne i opcionalne"
Test,Test
Production,Produkcija
Disabled,Onemogućeno
Simple,Jednostavne
Advanced,Napredne
"Sale (authorization)","Prodaja (autorizacija)"
"Authorize (pre-authorization, requires completion)","Predautorizacija (zahtijeva kompletiranje)"
Autodetect,Automatska detekcija
Croatian,Hrvatski
English,Engleski
Serbian,Srpski
German,Njemački
Italian,Talijanski
Slovenian,Slovenski
"CorvusPay by Card","CorvusPay by Card"
"CorvusPay by IBAN","CorvusPay by IBAN"
CorvusWallet,CorvusWallet
paysafecard,paysafecard
"Continue to payment","Nastavi na plaćanje"
"Save credit card information for future use.","Pohrani kartične podatke za buduća plaćanja."
"Place Order","Naruči"
CorvusPay,CorvusPay
"Accept credit/debit cards in your Magento store.<br/>No setup fee. Cardholder enters personal information in a secure (PCI DSS certified) environment.","Prihvat kreditnih i debitnih kartica u vašoj Magento prodavaonici.<br/>Bez ulazne naknade. Vlasnik kartice unosi osobne podatke putem sigurne (PCI DSS certificirane) okoline."
"Required CorvusPay Settings","Obavezne CorvusPay postavke"
Title,Naziv
Environment,Okolina
"Test Store ID","ID testnog prodajnog mjesta"
"Copy Test Store ID from the CorvusPay Merchant Center.","Kopirajte ID testnog prodajnog mjesta iz CorvusPay Merchant Centera."
"Test Secret Key","Testni tajni ključ"
